Month,Day,1980's Average,1990's Average,2000's Average,2010's Average,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
02,08,3114986,3119539,3275191,3165088.3,-9999,-9999,3040277,3018076,-9999,3276581,-9999,-9999,3395276,-9999,3031989,3111469,3135309,3391189,3033166,2644078,3203393,3665185,3283218,2584857,3104100,3150897,2981737,3677593,3150553,3783013,3724946,2901068,2550998,2897159,3827700,3172126,3064895,2597557,3867268,3871387,3967524,3907246,2892754,2321526,2354625,2806101,3002096,3121977,2453311,2169261,2261804
02,09,3075191,3079263,3241461,3135808.4,-9999,3059575,-9999,-9999,3308389,-9999,2794668,2757503,-9999,3259044,3003667,3059007,3106693,3364048,2979328,2595444,3159200,3611037,3265352,2545166,3074210,3092149,2960403,3647804,3109117,3763902,3648367,2883249,2532208,2863496,3792619,3133247,3050826,2588204,3822638,3841088,3912824,3862535,2873509,2279405,2351144,2775911,2973847,3057351,2381675,2108841,2231582
02,10,3033869,3041642,3208639,3103860.2,-9999,-9999,2976313,2915783,-9999,3167055,-9999,-9999,3349902,-9999,2978568,3003377,3075551,3298923,2944038,2567699,3125597,3555348,3233307,2500912,3051469,3063577,2936064,3628177,3061540,3754502,3588376,2861750,2520537,2831105,3756691,3073138,3030768,2575699,3773690,3814506,3842028,3807590,2850328,2255361,2343410,2745222,2964387,3021349,2351003,2055383,2218858
02,11,2993293,3007342,3177345,3067391.3,-9999,3020926,-9999,-9999,3179313,-9999,2689737,2707502,-9999,3199221,2951936,2973589,3037141,3255760,2922975,2521142,3099645,3519594,3192394,2482192,3013048,3029527,2895760,3611679,3022432,3712398,3547683,2832239,2507956,2800365,3705354,3016962,2978842,2550960,3735100,3795679,3767824,3758320,2812825,2236777,2340990,2696596,2953780,2969896,2328893,2034424,2203469
02,12,2958199,2972264,3144540,3031710.3,-9999,-9999,2870086,2844787,-9999,3083985,-9999,-9999,3255359,-9999,2939784,2922563,2997582,3230323,2871512,2479844,3086035,3495514,3116447,2467113,2985855,2992412,2836293,3578760,2991991,3662697,3521124,2804104,2502689,2782239,3684269,2982368,2913273,2534683,3698163,3781052,3717354,3721346,2758519,2226844,2317600,2648269,2944343,2910177,2329802,2013877,2173249
02,13,2925498,2933820,3117655,2999632.5,-9999,2936843,-9999,-9999,3099808,-9999,2617980,2675776,-9999,3161515,2915053,2860900,2957457,3172060,2840279,2437632,3070110,3484052,3060466,2426782,2946548,2942812,2798696,3557499,2955889,3651555,3477755,2783482,2494922,2760453,3697260,2949091,2835394,2507485,3679147,3750953,3657302,3700037,2739602,2222327,2306443,2597635,2929959,2878402,2288909,2013700,2163123
02,14,2894436,2900096,3089909,2971200.8,-9999,-9999,2800801,2792368,-9999,3016640,-9999,-9999,3183871,-9999,2878191,2799572,2928795,3134581,2822315,2397310,3058820,3464679,3020974,2376543,2896746,2900195,2753662,3544225,2912319,3635226,3439090,2795579,2493859,2736858,3668997,2896522,2789282,2455914,3608575,3728312,3618941,3667614,2730033,2226896,2298018,2588423,2896304,2853984,2233020,1995759,2172347
02,15,2870586,2871670,3069024,2953713.3,-9999,2936679,-9999,-9999,3038711,-9999,2607474,2641958,-9999,3102612,2856605,2769820,2888844,3096994,2780908,2391073,3062859,3447786,2972370,2337805,2876404,2861656,2706635,3549529,2866635,3614665,3423460,2780721,2495042,2717238,3594958,2836361,2794920,2419362,3561378,3699754,3595411,3641866,2711426,2230736,2305396,2576884,2868673,2850023,2208774,1968016,2136587
02,16,2850927,2843006,3054314,2935555.6,-9999,-9999,2718521,2770385,-9999,2954138,-9999,-9999,3140627,-9999,2833621,2741923,2869725,3065199,2706095,2374995,3078279,3417365,2904300,2318699,2861541,2833862,2676054,3539548,2834637,3594901,3366011,2786487,2470125,2705728,3561199,2793226,2813330,2386778,3489378,3685327,3582243,3629533,2678862,2232124,2292067,2565914,2827598,2879640,2196024,1953550,2099070
02,17,2838116,2819695,3045610,2920519.4,-9999,2870610,-9999,-9999,3040905,-9999,2589644,2581780,-9999,3097027,2808886,2740675,2835222,3049231,2677552,2374804,3071893,3416519,2830477,2286386,2829646,2825219,2684515,3534077,2805148,3586844,3304981,2783706,2465630,2714194,3599454,2784025,2826978,2357320,3417830,3696275,3579736,3598855,2657331,2224767,2270501,2575601,2797521,2872147,2183449,1949420,2090437
02,18,2827068,2804746,3043701,2912016.9,-9999,-9999,2700217,2740228,-9999,2925384,-9999,-9999,3094981,-9999,2795742,2753542,2792911,3027048,2651357,2390173,3083550,3413726,2790716,2266832,2827721,2803429,2680526,3525786,2809698,3582931,3343524,2771834,2445963,2725589,3614318,2756653,2812608,2346212,3376675,3725873,3556485,3593697,2692839,2199214,2240515,2576051,2763545,2851560,2156359,1964495,2090917
02,19,2819954,2792905,3046053,2901596.5,-9999,2901827,-9999,-9999,3027256,-9999,2576399,2586808,-9999,3021341,2789157,2764259,2756495,2981148,2630934,2423253,3095107,3408150,2745923,2251372,2826284,2810383,2698764,3526103,2808242,3596839,3324572,2784369,2422686,2745757,3604728,2733184,2782086,2350423,3344499,3722497,3542029,3617358,2720061,2192847,2208717,2535448,2759291,2825567,2128047,1969339,2090929
02,20,2816280,2783095,3055830,2899341.5,-9999,-9999,2649505,2777014,-9999,2905104,-9999,-9999,3076202,-9999,2768228,2784271,2746518,2940637,2600925,2446309,3107078,3408552,2712385,2263718,2817302,2787521,2739674,3513070,2824371,3599248,3264508,2801209,2421241,2741607,3586769,2715281,2789471,2337574,3327961,3689378,3544214,3629081,2754912,2198447,2229363,2493014,2773838,2804140,2143682,1970711,2094101
02,21,2811789,2773920,3064783,2909284.1,-9999,2902776,-9999,-9999,3023104,-9999,2571017,2594275,-9999,3004746,2744880,2798706,2756278,2888601,2572462,2455028,3125755,3411705,2687291,2259385,2814837,2767860,2776199,3507255,2813724,3648813,3271829,2795871,2408985,2753951,3632074,2720038,2811851,2317738,3320727,3701586,3561149,3639126,2810646,2197364,2253347,2479307,2792210,2787666,2155800,1962397,2126978
