Month,Day,1980's Average,1990's Average,2000's Average,2010's Average,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
02,04,15181054,14762962,14179678,13537949.333333334,-9999,-9999,15322929,15294756,-9999,15450031,-9999,-9999,14972865,-9999,14999326,14984863,14905918,14384949,14882847,14997438,14994594,14651434,14388633,14799671,15125149,14498987,14590986,14413775,14688823,14354903,13959084,13593606,13651766,13788020,14176168,13985082,-9999,13662274,13558126,13782681,13681685,13665358,13417505,13336973,13303213,13433729,13770861,13723437,13869564,13473396,13662416
02,05,15207771,14784614,14199368,13541684.111111112,-9999,15293710,-9999,-9999,15592629,-9999,14815132,15034261,-9999,15451592,14966373,14999243,14885361,14387093,14895853,15038261,14980794,14698641,14473023,14829884,15147068,14510159,14626364,14402443,14686075,14364589,13997817,13520079,13656800,13726703,14304637,14019491,-9999,13638157,13539775,13752404,13692451,13696293,13461104,13323424,13329683,13441866,13853440,13736730,13906765,13510413,13682460
02,06,15228254,14815785,14227647,13581906,-9999,-9999,15465234,15334920,-9999,15494207,-9999,-9999,15102008,-9999,14952474,15027308,14894365,14418244,14895523,15089035,14973028,14756131,14556979,14874010,15152231,14548301,14660722,14428894,14689051,14369890,14027753,13521584,13661187,13728000,14340780,14111891,13768984,13628251,13568822,13762682,13713981,13661255,13560967,13347490,13293392,13513236,13939559,13740292,13857320,13543846,13730916
02,07,15241341,14842598,14255426,13592834.6,-9999,15480584,-9999,-9999,15555417,-9999,14736228,15121711,-9999,15505813,14935337,15076943,14907609,14456077,14908609,15144410,14965615,14775208,14626038,14900945,15120181,14621289,14679818,14466418,14688715,14369237,14076322,13604880,13684585,13789841,14342250,14226769,13768908,13634832,13662902,13830923,13666843,13641321,13601644,13351114,13250852,13519007,13989242,13764486,13960490,13596519,13790232
02,08,15242921,14865661,14289346,13623555.7,-9999,-9999,15434213,15322989,-9999,15490653,-9999,-9999,15319698,-9999,14911799,15110699,14965539,14518068,14880349,15206976,14991476,14768940,14676403,14902153,15085537,14661164,14682017,14508070,14689886,14438923,14157418,13736023,13705700,13842650,14336774,14297733,13800153,13636918,13731963,13932090,13669885,13704298,13603941,13357719,13241477,13557113,14017548,13761907,14024475,13578510,13849694
02,09,15240610,14881482,14318070,13649668.3,-9999,15579369,-9999,-9999,15503551,-9999,14651487,15117226,-9999,15486884,14905385,15105767,15031712,14560865,14845742,15245727,14993581,14748437,14698932,14899757,15070501,14719569,14669425,14537751,14725117,14470922,14234377,13778011,13753416,13852281,14349505,14325669,13824198,13649678,13756675,14006542,13688619,13783832,13612599,13366971,13199637,13607932,14033312,13774514,13849623,13525897,13922541
02,10,15253169,14895987,14342008,13659700,-9999,-9999,15557427,15204900,-9999,15519658,-9999,-9999,15422068,-9999,14913703,15099377,15092224,14620615,14832331,15258210,14996178,14713283,14671550,14927657,15074661,14773164,14657147,14570711,14742783,14464302,14316070,13752048,13777635,13906008,14380862,14322056,13823756,13657543,13785494,14016644,13678391,13839883,13546847,13371617,13227366,13649459,14012340,13831212,13808348,13450060,14028085
02,11,15256262,14910653,14359931,13673793.3,-9999,15867217,-9999,-9999,15540205,-9999,14709601,15116649,-9999,15503506,14930960,15062411,15124796,14700799,14806680,15271883,15015623,14703205,14657287,14951271,15067341,14807645,14640251,14624543,14780237,14504880,14391075,13737061,13850616,13959531,14403758,14268929,13854085,13673886,13857694,14058321,13633069,13869333,13481905,13350835,13263605,13695200,13992038,13853676,13804085,13468290,14055218
02,12,15264583,14922974,14381261,13705705.8,-9999,-9999,15535800,15234759,-9999,15545056,-9999,-9999,15378895,-9999,14954908,15008991,15110856,14764227,14872966,15238326,15001169,14699306,14640474,14995947,15082554,14823917,14625004,14666753,14804838,14533559,14426852,13753646,13891583,13999615,14377721,14239081,13923884,13716435,13914164,14122711,13606990,13889313,13461801,13397611,13268427,13755722,13939657,13884635,13805612,13572811,14106316
02,13,15286798,14934722,14404699,13756684.4,-9999,15900140,-9999,-9999,15561936,-9999,14887510,15150180,-9999,15505257,14980586,14986306,15082478,14815490,14949174,15167062,15015032,14686335,14632642,15042267,15112883,14843855,14593351,14740541,14841848,14579269,14438047,13754175,13887352,14001721,14350958,14237149,13991922,13776731,13944095,14176366,13630738,13902604,13546428,13436564,13300888,13860508,13903299,13886614,13863122,13645577,14113647
02,14,15303122,14935496,14423895,13810924.3,-9999,-9999,15628393,15214524,-9999,15661170,-9999,-9999,15393819,-9999,15005456,14933219,15041731,14842936,14964607,15128620,15011484,14666578,14619581,15084334,15139878,14855209,14571190,14799960,14867089,14620216,14457816,13817298,13870298,14029415,14287947,14289783,14054621,13807752,13998993,14215442,13700630,13916858,13572323,13546701,13342060,13953863,13930708,13909170,13949255,13738528,14091877
02,15,15321420,14955442,14431340,13851469,-9999,16043169,-9999,-9999,15624511,-9999,14949262,15164852,-9999,15545765,15013698,14933585,15080144,14879510,15000968,15145490,15001764,14659463,14620198,15134135,15175167,14857579,14525968,14851879,14908858,14682247,14445907,13931554,13839477,14058806,14236455,14315111,14115574,13872639,14029251,14229214,13739569,13942060,13620885,13673982,13346013,13945503,13994194,13974043,14002413,13757481,14004434
